Constituency,Hebrew,English,Region,VEP,Quota,Votes,Invalid,Valid,Turnout,Largest List,Margin (Blocs),אמת,ג,ודעם,טב,ל,מחל,פה,שס,Opposition Bloc,Likud Bloc,3.25%,נץ,זץ,ז,זך,י,יז,ינ,יף,יק,יר,כ,כן,נ,נז,ני,נק,ףז,ץ,ק,קי,קך,קץ,end
103,חוצות הקריות,Krayot Outer,7,32625,1.006062057,21481,139,21342,65.84214559,מחל,3.187832556,1244,178,32,512,2328,8744,7353,805,10957,10280,693.615,41,0,18,3,3,2,0,0,3,2,6,6,19,1,4,0,7,1,19,7,2,2,end
104,חיפה הדר ועמל,Haifa Hadar & Amal,7,32717,1.008899075,15517,127,15390,47.42794266,ג,-0.89665554,759,3991,2852,181,2152,2549,1808,938,7571,7708,500.175,49,0,22,3,4,5,3,0,3,1,2,5,8,3,2,3,6,11,10,6,4,10,end
105,חיפה חורב,Haifa Horev,7,31598,0.974392303,21543,57,21486,68.17836572,פה,48.48852398,2279,100,206,835,1230,4449,12200,111,15915,5521,698.295,26,0,10,0,3,2,1,2,1,0,0,6,9,1,0,0,3,3,2,0,2,5,end
106,חיפה מרכז הכרמל,Haifa Carmel Centre,7,33047,1.019075335,20466,67,20399,61.92997852,פה,47.98365257,2445,88,587,462,1335,4551,10660,152,15027,5282,662.9675,29,,,,,,,,,,,,,,,,,,,,,,end
107,חיפה נוה שאנן,Haifa Neve Shaanan,7,32207,0.993172128,17438,139,17299,54.14350918,מחל,-0.37819282,889,670,246,1342,2723,5885,4703,673,8561,8626,562.2175,56,0,28,0,4,1,1,3,3,4,2,8,14,6,5,2,10,6,5,2,3,5,end
108,חיפה סטלה מאריס,Haifa Stella Maris,7,32104,0.989995901,19122,122,19000,59.56267132,פה,42.08273894,1334,80,4569,348,1548,4622,5995,399,13446,5481,617.5,32,0,16,0,1,1,2,0,3,2,2,6,11,3,1,1,3,4,8,2,2,5,end
109,חיפה קרית חיים,Haifa Kiryat Haim,7,31652,0.976057509,20506,116,20390,64.78579553,מחל,-13.20754717,851,441,29,1272,1570,8272,6359,1390,8809,11490,662.675,115,0,20,1,3,1,0,0,2,0,1,4,17,4,3,6,8,2,8,0,5,6,end
110,חיפה תחתית,Haifa Downtown,7,32415,0.999586255,15906,141,15865,49.06987506,ודעם,54.60522117,740,60,6115,162,2657,3134,2599,181,12111,3556,515.6125,19,0,12,4,5,1,2,4,4,3,3,6,8,4,1,2,5,7,7,5,1,14,end
111,טירת כרמל וחיפה שער עלייה,Tirat Carmel & Haifa Shaar Aliyah,7,32259,0.99477566,20780,138,20642,64.41613193,מחל,-27.74507419,736,101,292,521,1925,10733,4473,1693,7426,13129,670.865,81,0,18,0,0,2,4,2,1,2,0,2,8,7,3,3,5,3,7,3,1,16,end
112,נשר וחיפה טכניון,Nesher & Haifa Technion,7,32505,1.002361599,20826,111,20715,64.07014305,פה,16.50598324,1276,248,105,564,2704,7092,7939,672,12024,8617,673.2375,41,0,27,0,0,1,0,0,3,0,2,4,15,1,0,0,6,3,4,0,1,7,end
113,קרית אתא,Kiryat Ata,7,32072,0.989009112,21762,115,21647,67.85357945,מחל,-41.91636178,567,682,16,1087,1668,11262,4020,2191,6271,15322,703.5275,100,0,9,2,0,0,0,1,1,2,3,2,11,5,0,1,1,0,3,0,7,6,end
114,קרית ביאליק,Kiryat Bialik,7,30559,0.942352503,19971,128,19843,65.35226938,פה,9.184757856,901,170,21,534,1728,7579,8138,633,10788,8973,644.8975,57,0,22,0,4,3,1,1,1,0,1,6,15,3,1,2,9,0,4,1,3,5,end
115,קרית ים,Kiryat Yam,7,31244,0.963475951,17355,166,17189,55.54666496,מחל,-13.78542984,428,130,12,366,3590,8354,3331,805,7361,9715,558.6425,60,0,19,1,1,3,2,2,5,4,4,9,12,5,4,4,2,3,17,4,4,8,end
116,קרית מוצקין,Kiryat Motzkin,7,32013,0.987189721,20397,139,20258,63.71474089,מחל,4.67215554,868,111,27,677,2449,8132,7208,632,10552,9610,658.385,58,0,16,1,3,2,1,4,2,2,4,3,12,6,5,1,7,6,4,2,3,12,end
117,אום אל-פחם,Um El-Fahm,8,33590,1.035819908,21173,123,21050,63.03364096,ודעם,99.19866444,87,1,20726,7,4,62,64,11,20881,84,684.125,3,0,1,1,1,1,17,1,1,4,2,3,2,2,0,12,4,6,3,7,4,13,end
118,בקעת תענך,Taanakh Valley,8,33514,1.033476284,22482,79,22403,67.08241332,ודעם,66.2260854,1414,52,11894,329,244,3038,4998,305,18550,3769,728.0975,45,0,7,0,0,2,13,1,1,1,3,5,10,4,0,8,3,6,12,2,4,2,end
119,הר הכרמל,Carmel Mountain,8,34017,1.048987371,21112,106,21006,62.0630861,פה,60.43220501,1767,125,2400,521,886,3145,11725,306,16778,4138,682.695,41,0,6,0,1,2,7,1,4,2,6,7,7,0,2,2,6,4,7,1,6,19,end
120,ואדי עארה,Ara Valley,8,32802,1.011520233,22850,104,22746,69.66038656,ודעם,98.14577723,181,4,22180,7,4,139,76,53,22441,210,739.245,7,0,3,1,0,0,15,3,1,1,2,0,2,3,1,15,6,8,8,4,6,16,end
121,זיתה,Zeita,8,32099,0.989841716,19712,114,19598,61.41001277,ודעם,99.05626507,124,1,19170,17,2,35,109,35,19405,92,636.935,4,0,0,0,3,3,21,1,5,1,2,1,5,12,2,19,3,3,8,3,1,8,end
122,חדרה מערב,Hadera West,8,33559,1.034863956,20662,142,20520,61.56917667,מחל,-26.30754929,793,250,99,721,1593,10050,5046,1801,7531,12908,666.9,86,0,7,2,0,2,1,1,1,1,3,4,20,5,1,1,1,2,8,3,2,16,end
123,חדרה מרכז,Hadera Centre,8,31407,0.968502407,20452,123,20329,65.11924093,מחל,-4.978269459,1067,353,94,572,1979,7894,6480,1740,9620,10628,660.6925,69,0,21,2,0,1,0,0,0,0,3,8,12,2,1,3,7,5,5,5,1,5,end
124,חוף הכרמל,Carmel Coast,8,33933,1.046397051,21420,129,21291,63.12439218,מחל,16.59510216,1136,162,4773,490,1324,6927,5122,1184,12355,8838,691.9575,75,0,14,1,2,1,11,0,3,2,1,7,12,2,1,6,4,6,6,2,3,14,end
125,עין שמר,Ein Shemer,8,32783,1.010934327,22548,85,22463,68.77955038,מחל,8.17458188,1966,254,1669,1687,1714,6854,6746,1320,12095,10267,730.0475,152,0,29,1,2,1,2,1,2,1,2,6,21,3,1,1,7,4,1,1,5,10,end
126,עמק חפר,Hefer Valley,8,31908,0.98395182,23834,48,23786,74.696001,פה,51.36137571,3637,104,181,887,430,4174,13708,552,17956,5770,773.045,53,0,19,0,0,3,0,0,0,2,0,1,14,6,1,1,10,0,0,0,1,2,end
127,פרדס חנה - כרכור,Pardes Hannah-Karkur,8,31951,0.985277817,22970,86,22884,71.8913336,פה,13.28162657,2536,164,168,1205,895,7361,9327,1116,12926,9895,743.73,49,0,16,0,0,4,1,1,2,1,1,1,16,2,0,2,2,3,2,5,2,2,end
128,רמת הנדיב,Ramat haNadiv,8,33719,1.0397979,23367,89,23278,69.29920816,פה,45.24383939,2102,634,5101,875,458,3883,9196,923,16857,6355,756.535,40,0,9,2,0,2,3,0,3,0,2,2,18,2,0,3,7,0,5,0,2,6,end
129,רמת יקנעם,Yokneam Heights,8,32852,1.01306209,23357,89,23268,71.09765007,פה,24.22896088,3094,204,101,691,1661,7122,9544,697,14400,8783,756.21,69,0,22,0,0,2,1,1,1,1,0,4,25,2,2,0,8,2,5,1,2,6,end
130,"גבעתיים דרום ות""א מזרח",Tel Aviv East & Givatayim South,9,32605,1.005445314,22192,87,22105,68.06318049,פה,29.09553215,3172,186,249,750,652,5743,10143,1058,14216,7808,718.4125,71,0,30,1,1,1,1,1,0,0,0,2,13,4,0,0,8,2,6,0,8,3,end
131,גבעתיים צפון,Givatayim North,9,32555,1.003903456,22689,72,22617,69.69436339,פה,49.10848931,3199,140,219,674,657,4555,12734,325,16809,5737,735.0525,43,0,29,0,0,2,0,0,1,1,1,3,11,4,0,0,7,1,3,0,4,4,end
132,יפו אבו כביר,Jaffa Abu Kabir,9,32427,0.999956301,18569,151,18418,57.26400839,מחל,-20.6936038,1181,143,1740,369,1017,7465,3334,3029,7272,11067,598.585,61,0,15,1,1,1,3,2,2,1,1,9,10,4,1,5,4,5,4,4,1,5,end
133,"יפו מרכז ות""א פלורנטין",Jaffa Centre & Tel Aviv Florentin,9,33987,1.048062257,18473,82,18391,54.35313502,פה,71.26141396,3255,43,5384,214,439,2128,6583,214,15661,2628,597.7075,29,0,29,0,2,2,0,1,1,1,4,3,21,2,2,6,4,6,5,4,5,4,end
134,קרית אונו ותל השומר,Kiryat Ono & Tell haShomer,9,32214,0.993387988,23705,64,23641,73.5860185,פה,33.19190462,2312,106,97,863,852,6119,12435,728,15696,7873,768.3325,57,0,20,0,0,0,1,1,1,0,2,2,11,5,0,2,10,0,3,0,8,6,end
135,"ר""ג הבורסה",Ramat Gan Bourse,9,32339,0.997242632,21052,73,20979,65.09786945,פה,36.87281772,2532,150,187,616,866,5402,10723,382,14308,6599,681.8175,49,0,32,0,0,0,1,0,2,0,1,3,13,1,2,0,9,4,2,0,0,2,end
136,"ר""ג פארק לאומי",Ramat Gan National Park,9,32962,1.016454177,23060,91,22969,69.95934713,פה,9.827044025,1916,309,107,1348,813,7177,9737,1411,12573,10323,746.4925,78,0,26,1,1,3,1,0,3,2,4,1,11,0,0,0,10,1,2,0,0,7,end
137,"ר""ג שיכונים",Ramat Gan Development Neighbourhoods,9,33014,1.018057709,23081,86,22995,69.91276428,פה,20.86023382,2133,294,100,955,995,6835,10625,909,13853,9071,747.3375,78,0,25,1,1,1,0,0,0,1,0,7,13,4,3,1,3,2,1,1,4,3,end
138,"ר""ג שלישות",Ramat Gan Shalishut,9,31429,0.969180824,18360,76,18284,58.41738522,פה,27.21578109,1864,274,164,639,1166,5068,8382,594,11576,6623,594.23,48,0,30,3,4,0,0,3,1,1,1,2,17,0,1,0,6,2,2,1,7,4,end
139,"ת""א אחוזת בית",Tel Aviv Ahuzat Bayit,9,33017,1.01815022,18744,56,18688,56.77075446,פה,60.37806777,4093,253,691,295,419,2854,9729,263,14932,3689,607.36,24,0,35,0,1,2,1,1,0,0,1,0,12,1,0,1,7,2,1,0,1,1,end
140,"ת""א בבלי ורמת אביב",Tel Aviv Babylon & Ramat Aviv,9,32490,1.001899042,22108,57,22051,68.04555248,פה,59.19090909,3399,113,325,533,560,3646,13227,176,17511,4489,716.6575,21,0,17,1,0,0,0,0,1,0,0,1,12,2,1,0,8,3,3,1,1,0,end
141,"ת""א גדות הירקון",Tel Aviv Yarkon Banks,9,32845,1.01284623,21416,41,21375,65.20322728,פה,66.90523905,3903,148,394,526,491,2675,12702,98,17490,3468,694.6875,21,0,27,0,0,0,0,0,0,2,3,2,10,1,0,1,5,3,1,0,0,2,end
142,"ת""א דרום העיר",Tel Aviv South,9,33952,1.046982957,18306,113,18193,53.917295,מחל,-14.67034483,2156,354,593,422,569,7083,4415,2441,7733,10392,591.2725,92,0,20,1,1,3,0,0,2,4,1,2,12,1,2,1,5,4,2,2,1,4,end
143,"ת""א הצפון הישן",Tel Aviv Old North,9,33811,1.042634918,18999,38,18961,56.19177191,פה,64.72584579,3369,89,399,484,532,2676,11232,55,15532,3326,616.2325,22,0,19,2,0,2,0,0,0,1,0,3,6,2,0,0,4,1,2,1,1,0,end
144,"ת""א כפר שלם",Tel Aviv Kfar Shalem,9,33421,1.030608429,21072,112,20960,63.05017803,מחל,-30.07133624,1043,378,70,606,1610,9643,4580,2868,7303,13584,681.2,89,0,22,1,4,2,0,1,1,0,1,7,11,4,1,1,4,3,1,1,1,7,end
145,"ת""א שוברי גלים",Tel Aviv Tidebreakers,9,32661,1.007172194,21139,83,16474,64.72245185,פה,59.6809547,3172,105,445,336,424,2663,9072,170,13113,3311,535.405,37,0,29,0,0,0,0,0,0,0,1,3,9,0,0,1,2,1,1,1,0,2,end
146,"ת""א שרונה",Tel Aviv Sarona,9,32743,1.009700841,21660,64,21596,66.15154384,פה,62.10868556,4047,202,521,659,519,3062,12364,127,17451,4079,701.87,29,0,41,1,0,2,1,0,0,0,1,2,6,3,0,0,4,1,2,0,0,2,end
147,בית ליד,Beit Lid,10,31854,0.982286613,23103,113,22990,72.52778301,מחל,-7.041884817,1126,221,34,1179,906,9034,8587,1739,10653,12267,747.175,94,0,19,0,2,2,0,0,3,1,1,7,14,2,0,2,6,1,2,2,5,1,end
148,הדר ומורשה,Morasha & Hadar,10,32352,0.997643515,24136,58,24078,74.60435213,פה,39.62861187,2390,379,91,578,660,5406,13627,841,16768,7250,782.535,46,0,17,0,0,1,0,1,1,1,3,6,5,1,2,3,4,1,7,1,5,1,end
149,הרצליה גלילות,Herzlia Glilot,10,30998,0.955890012,21340,67,21273,68.84315117,פה,36.24050215,1949,168,92,511,854,5361,11539,683,14434,6755,691.3725,32,0,29,2,1,0,1,1,0,0,3,3,24,4,0,0,5,1,0,0,1,7,end
150,הרצליה מרכז ועמל,Herzlia Centre & Amal,10,31846,0.982039916,21416,72,21344,67.24863405,פה,20.57344301,1847,411,88,722,970,6340,9921,914,12826,8449,693.68,62,0,19,1,0,1,0,2,0,5,3,3,13,2,1,1,5,2,4,3,1,3,end
151,לב השרון,Heart of Sharon,10,31018,0.956506755,23706,75,23631,76.42659101,פה,36.29535328,2166,141,66,899,606,5753,13221,645,16059,7506,768.0075,68,0,20,1,0,0,0,2,1,2,1,3,17,1,0,1,5,2,1,1,5,3,end
152,מגדיאל ורמתיים,Magdiel & Ramatayim,10,32891,1.014264739,25057,71,24986,76.18193427,פה,43.01303912,2475,131,85,622,761,5709,14502,600,17823,7102,812.045,40,0,19,0,0,1,0,1,0,0,1,1,25,4,0,0,3,1,3,1,0,1,end
153,נופי ים,Sea View,10,31156,0.960762282,20498,53,20445,65.79150083,פה,43.64527193,2046,94,132,476,672,4830,11809,329,14659,5751,664.4625,22,0,3,2,0,1,0,0,1,1,1,1,11,2,3,0,2,3,1,0,1,2,end
154,נתניה מזרח,Netanya East,10,32287,0.9956391,20346,113,20233,63.01607458,מחל,-50.19594226,433,646,15,1401,1373,8818,3199,4151,5020,15139,657.5725,123,0,10,1,1,1,1,3,4,1,3,5,15,4,1,4,5,3,6,0,1,5,end
155,נתניה מחנה יעקב,Netanya Jacob,10,33945,1.046767097,19729,128,19601,58.12048903,מחל,-28.48136948,514,216,14,610,2214,9273,4235,2378,6977,12534,637.0325,57,0,15,3,4,1,0,1,3,1,5,7,11,0,4,3,3,6,7,3,7,6,end
156,נתניה מרכז,Netanya Centre,10,33779,1.04164813,16688,115,16573,49.40347553,מחל,-25.38652762,524,411,16,729,1958,7325,3655,1795,6153,10340,538.6225,80,0,13,0,2,1,0,1,2,1,2,3,23,5,3,1,6,3,2,1,2,9,end
157,נתניה פולג,Netanya Poleg,10,31409,0.968564081,19803,105,19698,63.04880767,מחל,-5.259402711,809,220,30,630,1875,7911,6581,1505,9295,10327,640.185,61,0,16,0,0,1,2,7,1,0,3,4,9,4,1,3,1,2,6,2,8,6,end
158,נתניה צפון,Netanya North,10,32465,1.001128113,18539,114,18425,57.10457416,מחל,-34.55337691,527,1999,14,784,1826,7575,3641,1910,6008,12352,598.8125,84,0,17,2,1,2,0,1,0,1,1,2,11,5,1,2,4,4,3,0,3,5,end
159,ספיר,Sapir,10,32573,1.004458525,24872,71,24801,76.35771958,פה,19.45679412,1660,132,57,949,1237,7592,11824,1211,14778,9964,806.0325,80,0,25,0,0,1,1,0,0,1,1,3,12,3,1,0,4,0,3,0,2,2,end
160,"רמה""ש צפון והרצליה דרום",Ramat haSharon North & Herzlia South,10,33402,1.030022524,23895,41,23854,71.53763248,פה,57.21907162,2621,200,133,409,617,4198,15342,253,18713,5092,775.255,32,0,22,1,0,0,0,0,2,1,0,3,6,3,0,1,5,0,1,0,3,1,end
161,רעננה מזרח,Raanana East,10,32781,1.010872653,21727,73,21654,66.27924712,פה,8.441768928,1640,415,57,2632,608,5818,9404,952,11709,9886,703.755,69,0,30,1,1,0,0,0,0,0,1,0,11,0,0,0,2,2,0,1,5,5,end
162,רעננה מערב,Raanana West,10,32976,1.016885897,22575,74,22501,68.45887918,פה,19.84317919,1679,323,62,1567,652,6134,11057,907,13450,8996,731.2825,65,0,19,2,0,2,0,0,1,1,2,2,10,2,2,1,4,1,1,2,2,1,end
163,"ת""א אפקה",Tel Aviv Afeka,10,33532,1.034031353,23485,62,23423,70.03757605,פה,64.99315771,3501,112,376,387,506,3463,14908,102,19291,4093,761.2475,29,0,18,0,1,0,0,0,0,0,2,2,4,1,1,0,4,1,4,0,1,0,end
164,"ת""א עתידים",Tel Aviv Atidim,10,32793,1.011242698,23260,70,23190,70.9297716,פה,47.76745191,3054,689,254,441,731,4349,13054,516,17093,6042,753.675,47,0,19,0,1,1,0,1,1,3,0,1,11,3,1,0,7,0,4,0,0,2,end
165,אייל,Eyal,11,32942,1.015837434,24627,77,24550,74.75866675,פה,28.19046841,2407,131,108,1370,1034,6471,12146,761,15695,8792,797.875,59,0,20,0,1,2,0,0,3,0,0,1,20,2,0,1,6,2,0,1,2,2,end
166,אפרים,Ephraim,11,32897,1.014449762,25263,60,25203,76.79423656,מחל,-42.95379472,575,327,14,6995,803,9661,5775,705,7167,17960,819.0975,272,0,26,0,1,1,0,0,1,1,4,0,15,0,0,0,12,0,1,2,2,10,end
167,"ב""ב דרום",Bnei Brak South,11,31611,0.974793186,25124,275,24849,79.47866249,ג,-97.66402191,49,17133,8,245,72,806,161,6268,290,24539,807.5925,87,0,2,0,1,1,1,0,1,0,0,1,0,1,1,0,3,1,0,0,0,3,end
168,"ב""ב מזרח",Bnei Brak East,11,32610,1.0055995,24979,300,24679,76.5992027,ג,-98.78365229,26,17417,1,160,33,691,90,6152,150,24514,802.0675,94,0,1,0,0,0,0,0,0,0,1,0,3,2,2,0,0,3,0,0,2,1,end
169,"ב""ב צפון",Bnei Brak North,11,32731,1.009330795,24831,281,24550,75.86385995,ג,-91.92528853,156,13796,11,576,245,1998,578,7041,990,23531,797.875,120,0,6,0,3,1,0,0,2,0,2,1,3,1,1,1,1,2,1,2,1,1,end
170,"ג. שמואל ופ""ת נוה עוז",Givat Shmuel & Petah Tikva Neve Oz,11,32161,0.991753619,24490,72,24418,76.14812972,פה,-18.41867346,1192,451,62,4993,684,7720,7988,1119,9926,14408,793.585,125,0,31,1,0,0,0,1,0,1,1,3,24,0,0,1,14,0,1,0,4,2,end
171,הרי שומרון,Samaria Mountains,11,31464,0.970260125,22646,115,22531,71.97431986,מחל,-67.29201016,157,1195,18,6520,1950,9101,1545,1319,3670,18771,732.2575,636,0,34,0,1,4,0,1,0,1,1,1,10,2,0,0,12,1,1,0,0,21,end
172,טירא ודרום טייבה,Tira & Taibe South,11,31995,0.986634652,23038,131,22907,72.00500078,ודעם,99.29981182,243,20,22298,10,2,36,228,11,22771,80,744.4775,3,0,1,0,0,0,17,0,2,0,1,3,2,1,1,5,2,3,2,0,5,11,end
173,כפר סבא דרום,Kfar Saba South,11,33228,1.024656859,23175,92,23083,69.74539545,פה,36.78580746,2496,145,123,969,1214,5654,11896,443,15729,7269,750.1975,58,0,28,1,0,0,1,2,2,1,5,6,19,2,2,2,6,3,2,1,1,1,end
174,כפר סבא צפון,Kfar Saba North,11,33802,1.042357384,25327,83,25244,74.92751908,פה,29.91775326,2113,203,85,1064,982,6704,13011,693,16191,8734,820.43,70,0,34,2,1,2,0,0,3,2,1,2,14,5,1,1,3,3,6,0,2,7,end
175,מעלה הירקון,Upper Yarkon,11,33262,1.025705322,25118,121,24997,75.51560339,ודעם,80.35800289,1705,30,16781,237,139,1939,3844,225,22469,2447,812.4025,16,0,8,2,2,1,14,2,2,1,0,1,3,3,4,7,3,5,7,8,2,6,end
176,"פ""ת אם המושבות וצפון",Petah Tikva Em haMoshavot  & North,11,32284,0.995546589,24015,87,23928,74.3866931,פה,10.51154217,1168,252,32,1480,1841,8088,10148,801,13189,10680,777.66,59,0,18,0,1,0,0,3,0,0,1,1,15,3,0,2,5,4,1,0,1,4,end
177,"פ""ת הדר גנים",Petah Tikva Hadar Ganim,11,32943,1.015868271,23876,130,23746,72.47670218,מחל,-60.47484263,437,2695,10,3342,1426,8890,2805,3916,4678,18993,771.745,150,0,12,2,0,3,0,1,0,0,2,6,19,4,3,4,6,2,0,3,1,7,end
178,"פ""ת כפר גנים ודרום",Petah Tikva Kfar Ganim & South,11,30977,0.955242432,21182,124,21058,68.37976563,מחל,-13.23704657,928,1555,35,2844,2079,6178,6059,1206,9101,11878,684.385,95,0,14,1,0,2,0,0,0,1,4,4,17,8,1,2,7,3,5,1,3,6,end
179,"פ""ת מושבה",Petah Tikva Moshava,11,31499,0.971339425,18722,111,18611,59.43680752,מחל,-8.1807873,672,886,38,1010,2796,6670,4996,1382,8502,10017,604.8575,69,0,21,0,0,0,0,3,1,2,3,9,18,6,4,0,4,4,9,5,2,1,end
180,"פ""ת עין גנים ופג'ה",Petah Tikva Ein Ganim & Fejja,11,32262,0.994868171,21865,110,21755,67.77323167,מחל,-28.95988182,713,466,30,1659,1815,9218,5136,2508,7694,13967,707.0375,116,0,29,2,1,4,0,5,2,3,3,3,14,2,1,1,6,5,6,0,2,5,end
181,קלנסווה וצפון טייבה,Qalansawa & Taibe North,11,30959,0.954687363,22240,107,22133,71.83694564,ודעם,92.8917902,241,8,20311,57,37,631,686,82,21275,784,719.3225,6,0,1,1,0,1,19,0,0,1,2,0,6,1,4,8,2,2,6,6,7,7,end
182,קרית אריה,Kiryat Aryeh,11,32263,0.994899008,22717,128,22589,70.41192698,מחל,-47.75078822,600,3917,28,787,1246,6228,4009,5588,5883,16636,734.1425,116,0,21,0,2,1,1,0,0,0,4,3,8,4,2,0,10,2,0,2,2,8,end
183,אילת מרכז ושחמון,Eilat Centre & Shahamon,12,33035,1.018705289,16035,71,15964,48.53942788,מחל,-18.91654098,627,89,142,495,1008,7933,4674,869,6451,9461,518.83,75,0,11,0,2,1,0,0,1,0,2,4,8,2,0,1,9,1,1,1,3,3,end
184,"ב""ש אוניברסיטה ועומר",Beer Sheva University & Omer,12,31016,0.956445081,22068,91,21977,71.150374,מחל,-17.22721672,1226,186,269,1095,1182,10350,6392,1150,9069,12844,714.2525,63,0,23,3,2,0,0,2,3,2,1,2,15,1,1,3,1,0,1,0,0,4,end
185,"ב""ש אצטדיון טרנר",Beer Sheva Terner Stadium,12,30889,0.952528763,16586,204,16382,53.6954903,מחל,-36.4189563,409,375,160,452,2648,7724,1955,2473,5172,11097,532.415,73,0,12,2,4,2,0,1,0,3,8,10,11,0,3,3,5,3,7,9,6,24,end
186,"ב""ש ואדי",Beer Sheva Wadi,12,32043,0.988114835,21075,134,20941,65.77099523,מחל,-26.36171845,774,168,135,819,2549,10916,4221,1196,7679,13177,680.5825,78,0,16,1,5,1,1,1,5,0,1,4,16,1,1,0,7,1,12,0,2,10,end
187,"ב""ש מרכז",Beer Sheva Centre,12,32011,0.987128046,17766,154,17612,55.49967199,מחל,-37.41504369,676,378,180,1132,1700,8579,2923,1820,5479,12030,572.39,121,0,23,2,5,1,1,1,2,2,3,5,23,2,0,3,5,2,7,4,6,6,end
188,"ב""ש נאות לון",Beer Sheva Neot Lon,12,31685,0.977075135,20148,142,20006,63.58844879,מחל,-29.29008937,631,203,68,910,2591,9935,3752,1736,7042,12876,650.195,92,0,11,2,13,3,0,1,0,1,2,3,13,1,3,0,6,2,6,6,1,14,end
189,בשור,Besor,12,32289,0.995700774,22928,76,22852,71.00870265,פה,17.23986664,3504,1002,726,1512,608,5930,8525,907,13363,9433,742.69,82,0,13,0,0,1,1,1,1,3,0,2,9,1,0,1,10,2,1,1,7,2,end
190,דימונה,Dimona,12,33670,1.03828688,21086,200,20886,62.62548263,מחל,-62.2565767,431,461,117,859,1536,15036,2335,2551,4419,18997,678.795,90,0,8,4,3,0,1,2,2,0,1,6,13,1,3,2,2,2,5,0,4,0,end
191,הערבה,Arava,12,32337,0.997180958,16317,88,16229,50.45922627,מחל,6.527932615,1938,259,226,983,1063,5493,5373,756,8600,7546,527.4425,55,0,14,1,1,0,2,2,1,3,3,2,17,4,1,6,8,4,5,2,3,4,end
192,הרי יהודה,Judean Mountains,12,31428,0.969149987,23504,69,23435,74.78681431,טב,-62.18487395,691,595,65,9415,356,7852,3298,490,4410,18914,761.6375,562,0,24,2,0,1,1,0,0,1,14,5,32,0,1,3,8,1,0,0,3,15,end
193,מדבר יהודה וים המלח,Judean Desert & Dead Sea,12,31065,0.957956101,19795,111,19684,63.72122968,מחל,-21.78405197,768,3524,177,2741,2703,5012,3998,468,7646,11905,639.73,160,0,23,2,5,3,2,0,12,3,6,4,14,3,2,13,7,4,9,5,4,12,end
194,נאות מדבר,Oases,12,31439,0.969489196,17246,95,17151,59.20298477,ודעם,95.96636679,57,17,16147,54,17,233,443,28,16664,343,557.4075,11,0,2,3,1,1,10,3,4,2,5,3,6,5,6,11,4,18,14,10,10,26,end
195,נתיבות,Netivot,12,31649,0.975964998,24449,111,24338,77.25046605,מחל,-78.51995223,305,1612,7,2296,1076,9771,1220,7789,2608,21675,790.985,207,0,11,0,0,1,0,0,0,0,2,4,15,1,3,3,1,4,2,4,0,4,end
196,רהט,Rahat,12,33988,1.048093094,22545,157,22388,66.33223491,ודעם,98.1496452,881,10,20711,35,29,136,439,16,22060,206,727.61,9,0,1,4,0,4,16,1,2,1,2,5,3,3,2,19,7,4,9,5,10,24,end
197,שדה תימן,Yemen Field,12,32541,1.003471736,21735,175,21560,66.79266157,מחל,-55.02325581,371,2266,32,795,2382,9587,2050,3894,4835,16665,700.7,123,0,14,0,4,6,1,1,2,2,0,2,9,1,0,0,3,2,5,0,1,7,end
198,שוקת,Shoket,12,30862,0.95169616,16067,156,15911,59.58327708,ודעם,96.27635995,170,5,15082,9,13,252,232,20,15497,294,517.1075,8,0,2,0,0,3,22,3,3,2,3,4,1,10,3,10,2,3,10,7,21,11,end
199,תל ערד,Tell Arad,12,30836,0.950894394,15836,101,15735,60.55043093,ודעם,97.34069887,257,5,14640,28,28,126,436,38,15361,207,511.3875,10,0,6,5,1,3,15,2,6,3,2,4,2,9,10,14,6,13,11,7,18,30,end
